Year,Month,Day,Site,Zone,Plot,Location,Flag_Location,Location_Notes,Longitude,Flag_Longitude,Latitude,Flag_Latitude,Quadrat_Area,Flag_Quadrat_Area,Species_Code,Shoot_Height,Flag_Shoot_Height,Flowering_Status,Plot_Disturbance,Plant_Biomass,Flag_Plant_Biomass
2000,10,11,1,1,1,GCE1_CB1,,,-81.422539,,31.538627,,0.25,,A1,110,,0,0,5.254,
2000,10,11,1,1,1,GCE1_CB1,,,-81.422539,,31.538627,,0.25,,A1,110,,0,0,5.254,
2000,10,11,1,1,1,GCE1_CB1,,,-81.422539,,31.538627,,0.25,,A1,80,,0,0,2.956,
2000,10,11,1,1,1,GCE1_CB1,,,-81.422539,,31.538627,,0.25,,A1,90,,0,0,3.657,
2000,10,11,1,1,1,GCE1_CB1,,,-81.422539,,31.538627,,0.25,,A1,140,,1,0,11.572,
2000,10,11,1,1,1,GCE1_CB1,,,-81.422539,,31.538627,,0.25,,A1,120,,1,0,8.76,
2000,10,11,1,1,1,GCE1_CB1,,,-81.422539,,31.538627,,0.25,,A1,160,,1,0,14.728,
2000,10,11,1,1,1,GCE1_CB1,,,-81.422539,,31.538627,,0.25,,A1,150,,1,0,13.108,
2000,10,11,1,1,1,GCE1_CB1,,,-81.422539,,31.538627,,0.25,,A1,80,,0,0,2.956,
2000,10,11,1,1,1,GCE1_CB1,,,-81.422539,,31.538627,,0.25,,A1,20,,0,0,0.242,
2000,10,11,1,1,1,GCE1_CB1,,,-81.422539,,31.538627,,0.25,,A1,20,,0,0,0.242,
2000,10,11,1,1,1,GCE1_CB1,,,-81.422539,,31.538627,,0.25,,A1,90,,0,0,3.657,
2000,10,11,1,1,1,GCE1_CB1,,,-81.422539,,31.538627,,0.25,,A1,90,,0,0,3.657,
2000,10,11,1,1,1,GCE1_CB1,,,-81.422539,,31.538627,,0.25,,A1,110,,0,0,5.254,
2000,10,11,1,1,1,GCE1_CB1,,,-81.422539,,31.538627,,0.25,,A1,110,,0,0,5.254,
2000,10,11,1,1,1,GCE1_CB1,,,-81.422539,,31.538627,,0.25,,A1,90,,0,0,3.657,
2000,10,11,1,1,1,GCE1_CB1,,,-81.422539,,31.538627,,0.25,,A1,100,,0,0,4.424,
2000,10,11,1,1,1,GCE1_CB1,,,-81.422539,,31.538627,,0.25,,A1,120,,1,0,8.76,
2000,10,11,1,1,1,GCE1_CB1,,,-81.422539,,31.538627,,0.25,,A1,120,,1,0,8.76,
2000,10,11,1,1,1,GCE1_CB1,,,-81.422539,,31.538627,,0.25,,A1,100,,0,0,4.424,
2000,10,11,1,1,1,GCE1_CB1,,,-81.422539,,31.538627,,0.25,,A1,100,,0,0,4.424,
2000,10,11,1,1,1,GCE1_CB1,,,-81.422539,,31.538627,,0.25,,A1,100,,0,0,4.424,
2000,10,11,1,1,1,GCE1_CB1,,,-81.422539,,31.538627,,0.25,,A1,90,,0,0,3.657,
